LegId,AirlineCode,AircraftRegistration,FlightNumber,Suffix,DepartureStation,ArrivalStation,STDDate,STDTime,ATDDate,ATDTime,STDDateLocal,STDTimeLocal,ATDDateLocal,ATDTimeLocal,STADate,STATime,ATADate,ATATime,STADateLocal,STATimeLocal,ATADateLocal,ATATimeLocal
"13076061,KL,PHBXA,1189,"" "",AMS,BGO,2017-01-05,13:55:00,2017-01-05,13:55:00,NULL,NULL,NULL,NULL,2017-01-05,15:40:00,2017-01-05,15:45:00,NULL,NULL,NULL,NULL"
"13076063,KL,PHBXE,1193,"" "",AMS,BGO,2017-01-05,20:05:00,2017-01-05,20:08:00,NULL,NULL,NULL,NULL,2017-01-05,21:50:00,2017-01-05,21:54:00,NULL,NULL,NULL,NULL"
"13076057,KL,PHEZB,1185,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-05,11:55:00,2017-01-05,12:07:00,NULL,NULL,NULL,NULL,2017-01-05,13:40:00,2017-01-05,13:57:00"
"13076059,KL,PHEXJ,1187,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-05,07:50:00,2017-01-05,08:06:00,NULL,NULL,NULL,NULL,2017-01-05,09:35:00,2017-01-05,09:58:00"
"13064566,KL,PHEZV,1185,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-03,11:55:00,2017-01-03,12:09:00,NULL,NULL,NULL,NULL,2017-01-03,13:40:00,2017-01-03,14:00:00"
"13064568,KL,PHEXI,1187,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-03,07:50:00,2017-01-03,07:52:00,NULL,NULL,NULL,NULL,2017-01-03,09:35:00,2017-01-03,09:32:00"
"13058326,KL,PHBXE,1189,"" "",AMS,BGO,2017-01-01,13:55:00,2017-01-01,13:56:00,NULL,NULL,NULL,NULL,2017-01-01,15:40:00,2017-01-01,15:25:00,NULL,NULL,NULL,NULL"
"13058328,KL,PHBXL,1193,"" "",AMS,BGO,2017-01-01,20:05:00,2017-01-01,20:13:00,NULL,NULL,NULL,NULL,2017-01-01,21:50:00,2017-01-01,21:45:00,NULL,NULL,NULL,NULL"
"13063344,KL,PHBGA,1193,"" "",AMS,BGO,2017-01-04,20:05:00,2017-01-04,20:08:00,NULL,NULL,NULL,NULL,2017-01-04,21:50:00,2017-01-04,22:03:00,NULL,NULL,NULL,NULL"
"13063338,KL,PHEZN,1185,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-04,11:55:00,2017-01-04,12:16:00,NULL,NULL,NULL,NULL,2017-01-04,13:40:00,2017-01-04,14:15:00"
"13063340,KL,PHEXJ,1187,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-04,07:50:00,2017-01-04,08:19:00,NULL,NULL,NULL,NULL,2017-01-04,09:35:00,2017-01-04,10:15:00"
"13063342,KL,PHBXW,1189,"" "",AMS,BGO,2017-01-04,13:55:00,2017-01-04,14:22:00,NULL,NULL,NULL,NULL,2017-01-04,15:40:00,2017-01-04,16:29:00,NULL,NULL,NULL,NULL"
"13058322,KL,PHEZD,1185,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-01,11:55:00,2017-01-01,11:57:00,NULL,NULL,NULL,NULL,2017-01-01,13:40:00,2017-01-01,13:27:00"
"13058324,KL,PHEXB,1187,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-01,07:50:00,2017-01-01,07:49:00,NULL,NULL,NULL,NULL,2017-01-01,09:35:00,2017-01-01,09:20:00"
"13064570,KL,PHBCB,1189,"" "",AMS,BGO,2017-01-03,13:55:00,2017-01-03,14:01:00,NULL,NULL,NULL,NULL,2017-01-03,15:40:00,2017-01-03,15:44:00,NULL,NULL,NULL,NULL"
"13064572,KL,PHBGW,1193,"" "",AMS,BGO,2017-01-03,20:05:00,2017-01-03,20:21:00,NULL,NULL,NULL,NULL,2017-01-03,21:50:00,2017-01-03,22:04:00,NULL,NULL,NULL,NULL"
"13057072,KL,PHEZT,1185,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-02,11:55:00,2017-01-02,12:01:00,NULL,NULL,NULL,NULL,2017-01-02,13:40:00,2017-01-02,13:50:00"
"13057074,KL,PHEXI,1187,"" "",AMS,BGO,NULL,NULL,NULL,NULL,2017-01-02,07:50:00,2017-01-02,07:50:00,NULL,NULL,NULL,NULL,2017-01-02,09:35:00,2017-01-02,09:45:00"
"13057076,KL,PHBXI,1189,"" "",AMS,BGO,2017-01-02,13:55:00,2017-01-02,14:00:00,NULL,NULL,NULL,NULL,2017-01-02,15:40:00,2017-01-02,15:49:00,NULL,NULL,NULL,NULL"
"13057078,KL,PHBGW,1193,"" "",AMS,BGO,2017-01-02,20:05:00,2017-01-02,20:17:00,NULL,NULL,NULL,NULL,2017-01-02,21:50:00,2017-01-02,22:09:00,NULL,NULL,NULL,NULL"
"13056415,KL,PHBVB,835,"" "",SIN,DPS,2017-01-02,09:35:00,2017-01-02,09:30:00,NULL,NULL,NULL,NULL,2017-01-02,12:15:00,2017-01-02,12:06:00,NULL,NULL,NULL,NULL"
"13062740,KL,PHBVD,835,"" "",SIN,DPS,2017-01-04,09:35:00,2017-01-04,09:33:00,NULL,NULL,NULL,NULL,2017-01-04,12:15:00,2017-01-04,12:04:00,NULL,NULL,NULL,NULL"
"13063972,KL,PHBQP,835,"" "",SIN,DPS,2017-01-03,09:35:00,2017-01-03,10:02:00,NULL,NULL,NULL,NULL,2017-01-03,12:15:00,2017-01-03,12:36:00,NULL,NULL,NULL,NULL"
"13057744,KL,PHBVD,835,"" "",SIN,DPS,2017-01-01,09:35:00,2017-01-01,09:36:00,NULL,NULL,NULL,NULL,2017-01-01,12:15:00,2017-01-01,12:14:00,NULL,NULL,NULL,NULL"
"13075423,KL,PHBVG,835,"" "",SIN,DPS,2017-01-05,09:35:00,2017-01-05,09:38:00,NULL,NULL,NULL,NULL,2017-01-05,12:15:00,2017-01-05,12:16:00,NULL,NULL,NULL,NULL"
"13075908,KL,PHBQG,641,"" "",AMS,JFK,2017-01-05,12:30:00,2017-01-05,12:47:00,NULL,NULL,NULL,NULL,2017-01-05,20:55:00,2017-01-05,21:03:00,NULL,NULL,NULL,NULL"
"13058198,KL,PHBQI,641,"" "",AMS,JFK,2017-01-01,12:30:00,2017-01-01,12:40:00,NULL,NULL,NULL,NULL,2017-01-01,20:55:00,2017-01-01,20:20:00,NULL,NULL,NULL,NULL"
"13064421,KL,PHBQD,641,"" "",AMS,JFK,2017-01-03,12:30:00,2017-01-03,12:53:00,NULL,NULL,NULL,NULL,2017-01-03,20:55:00,2017-01-03,20:55:00,NULL,NULL,NULL,NULL"
"13056916,KL,PHBQN,641,"" "",AMS,JFK,2017-01-02,12:30:00,2017-01-02,13:12:00,NULL,NULL,NULL,NULL,2017-01-02,20:55:00,2017-01-02,21:03:00,NULL,NULL,NULL,NULL"
"13052633,KL,PHBQB,643,"" "",AMS,JFK,2017-01-05,16:10:00,2017-01-05,16:12:00,NULL,NULL,NULL,NULL,2017-01-06,00:30:00,2017-01-06,00:42:00,NULL,NULL,NULL,NULL"
"13063193,KL,PHBQA,641,"" "",AMS,JFK,2017-01-04,12:30:00,2017-01-04,12:33:00,NULL,NULL,NULL,NULL,2017-01-04,20:55:00,2017-01-04,20:54:00,NULL,NULL,NULL,NULL"
"13046613,KL,PHBQK,643,"" "",AMS,JFK,2017-01-04,16:10:00,2017-01-04,16:12:00,NULL,NULL,NULL,NULL,2017-01-05,00:30:00,2017-01-05,00:39:00,NULL,NULL,NULL,NULL"
"13040512,KL,PHBFT,643,"" "",AMS,JFK,2017-01-03,16:10:00,2017-01-03,16:18:00,NULL,NULL,NULL,NULL,2017-01-04,00:30:00,2017-01-03,23:56:00,NULL,NULL,NULL,NULL"
"13034351,KL,PHBHG,643,"" "",AMS,JFK,2017-01-02,16:10:00,2017-01-02,16:15:00,NULL,NULL,NULL,NULL,2017-01-03,00:30:00,2017-01-03,00:15:00,NULL,NULL,NULL,NULL"
