CountryCode,CountryZone,GmtStartTms,GmtEndTms,GmtDiff,OffsetMinutes
AD,00,2000-10-29 01:01:00.000,2001-03-25 01:00:00.000,100,60
AD,00,2001-03-25 01:00:00.000,2001-10-28 01:01:00.000,200,120
AD,00,2001-10-28 01:01:00.000,2002-03-31 01:00:00.000,100,60
AD,00,2002-03-31 01:00:00.000,2002-10-27 01:01:00.000,200,120
AD,00,2002-10-27 01:01:00.000,2003-03-30 01:00:00.000,100,60
AD,00,2003-03-30 01:00:00.000,2003-10-26 01:01:00.000,200,120
AD,00,2003-10-26 01:01:00.000,2004-03-28 01:00:00.000,100,60
AD,00,2004-03-28 01:00:00.000,2004-10-31 01:01:00.000,200,120
AD,00,2004-10-31 01:01:00.000,2005-03-27 01:00:00.000,100,60
AD,00,2005-03-27 01:00:00.000,2005-10-30 01:00:00.000,200,120
AD,00,2005-10-30 01:00:00.000,2006-03-26 01:00:00.000,100,60
AD,00,2006-03-26 01:00:00.000,2006-10-29 01:00:00.000,200,120
AD,00,2006-10-29 01:00:00.000,2007-03-25 01:00:00.000,100,60
AD,00,2007-03-25 01:00:00.000,2007-10-28 01:00:00.000,200,120
AD,00,2007-10-28 01:00:00.000,2008-03-30 01:00:00.000,100,60
AD,00,2008-03-30 01:00:00.000,2008-10-26 01:00:00.000,200,120
AD,00,2008-10-26 01:00:00.000,2009-03-29 01:00:00.000,100,60
AD,00,2009-03-29 01:00:00.000,2009-10-25 01:00:00.000,200,120
AD,00,2009-10-25 01:00:00.000,2010-03-28 01:00:00.000,100,60
AD,00,2010-03-28 01:00:00.000,2010-10-31 01:00:00.000,200,120
AD,00,2010-10-31 01:00:00.000,2011-03-27 01:00:00.000,100,60
AD,00,2011-03-27 01:00:00.000,2011-10-30 01:00:00.000,200,120
AD,00,2011-10-30 01:00:00.000,2012-03-25 01:00:00.000,100,60
AD,00,2012-03-25 01:00:00.000,2012-10-28 01:00:00.000,200,120
AD,00,2012-10-28 01:00:00.000,2013-03-31 01:00:00.000,100,60
AD,00,2013-03-31 01:00:00.000,2013-10-27 01:00:00.000,200,120
AD,00,2013-10-27 01:00:00.000,2014-03-30 01:00:00.000,100,60
AD,00,2014-03-30 01:00:00.000,2014-10-26 01:00:00.000,200,120
AD,00,2014-10-26 01:00:00.000,2015-03-29 01:00:00.000,100,60
AD,00,2015-03-29 01:00:00.000,2015-10-25 01:00:00.000,200,120
AD,00,2015-10-25 01:00:00.000,2016-03-27 01:00:00.000,100,60
AD,00,2016-03-27 01:00:00.000,2016-10-30 01:00:00.000,200,120
AD,00,2016-10-30 01:00:00.000,2017-03-26 01:00:00.000,100,60
AD,00,2017-03-26 01:00:00.000,2017-10-29 01:00:00.000,200,120
AD,00,2017-10-29 01:00:00.000,2018-03-25 01:00:00.000,100,60
AD,00,2018-03-25 01:00:00.000,2018-10-28 01:00:00.000,200,120
AD,00,2018-10-28 01:00:00.000,2019-03-31 01:00:00.000,100,60
AD,00,2019-03-31 01:00:00.000,2019-10-27 01:00:00.000,200,120
AD,00,2019-10-27 01:00:00.000,2020-03-29 01:00:00.000,100,60
AD,00,2020-03-29 01:00:00.000,2020-10-25 01:00:00.000,200,120
AD,00,2020-10-25 01:00:00.000,3000-01-01 00:00:00.000,100,60
AE,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,400,240
AE,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,400,240
AF,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,430,270
AF,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,430,270
AG,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,-400,-240
AG,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,-400,-240
AI,00,1901-01-01 00:00:00.000,1990-01-01 00:00:00.000,-400,-240
AI,00,1990-01-01 00:00:00.000,3000-01-01 00:00:00.000,-400,-240
AL,00,2000-10-29 01:01:00.000,2001-03-25 01:00:00.000,100,60
AL,00,2001-03-25 01:00:00.000,2001-10-28 01:01:00.000,200,120
AL,00,2001-10-28 01:01:00.000,2002-03-31 01:00:00.000,100,60
AL,00,2002-03-31 01:00:00.000,2002-10-27 01:01:00.000,200,120
AL,00,2002-10-27 01:01:00.000,2003-03-30 01:00:00.000,100,60
AL,00,2003-03-30 01:00:00.000,2003-10-26 01:01:00.000,200,120
AL,00,2003-10-26 01:01:00.000,2004-03-28 01:00:00.000,100,60
AL,00,2004-03-28 01:00:00.000,2004-10-31 01:01:00.000,200,120
AL,00,2004-10-31 01:01:00.000,2005-03-27 01:00:00.000,100,60
AL,00,2005-03-27 01:00:00.000,2005-10-30 01:00:00.000,200,120
AL,00,2005-10-30 01:00:00.000,2006-03-26 01:00:00.000,100,60
AL,00,2006-03-26 01:00:00.000,2006-10-29 01:00:00.000,200,120
